date,end_date,name,country_code,year,status,date_status,source_urls
2027-01-01,,中华民国开国纪念日,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-01-19,,消防节,TW,2027,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-02-04,,除夕前一日（小年夜）,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-04,,农民节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-05,,除夕,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-06,2027-02-08,春节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-06,,道教节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-09,2027-02-10,除夕及春节补假,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-02-20,,元宵节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-02-28,,和平纪念日,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-03-01,,和平纪念日补假,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-03-08,,妇女节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-12,,国父逝世纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-12,,植树节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-14,,反侵略日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-21,,民族平等纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-29,,革命先烈纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-29,,青年节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-03-30,,国际医师节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-04-04,,儿童节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-04-05,,清明节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-04-06,,儿童节补假,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-04-07,,言论自由日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-04-30,,劳动节补假,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-05-01,,劳动节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-05-09,,母亲节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-05-12,,国际护士节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-05-13,,佛陀诞辰日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-06-05,,环境日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-06-08,,国家海洋日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-06-09,,端午节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-06-15,,警察节,TW,2027,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-06-26,,原住民族抵抗日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-07-01,,渔民节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-07-15,,解严纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-08-01,,原住民族日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-08-08,,父亲节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-08-15,,终战纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-08-16,,中元节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-08-22,,祖父母节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-08-23,,八二三纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-09-03,,军人节,TW,2027,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-09-09,,国民体育日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-09-15,,中秋节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983 https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-09-21,,国家防灾日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-09-28,,孔子诞辰纪念日／教师节,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-10-08,,重阳节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.cwa.gov.tw/Data/astronomy/2026cal.pdf https://www.cwa.gov.tw/Data/astronomy/2027cal.pdf https://www.cwa.gov.tw/Data/astronomy/2028cal.pdf
2027-10-10,,国庆日,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-10-11,,国庆日补假,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-10-24,,台湾联合国日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-10-25,,台湾光复暨金门古宁头大捷纪念日,TW,2027,statutory,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095 https://www.dgpa.gov.tw/information?uid=2&pid=12574 https://www.dgpa.gov.tw/information?uid=82&pid=12983
2027-11-08,,海巡节,TW,2027,discretionary,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-11-12,,国父诞辰纪念日,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
2027-11-12,,中华文化复兴节,TW,2027,commemorative,confirmed,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020095
